cantidad_exclamaciones;cantidad_interrogaciones;cantidad_urls;javascript_embebido;dominio_remitente;dominio_respuesta;cantidad_dominios_urls;ip_en_url;adjuntos_ejecutables;adjuntos_sospechosos;cantidad_destinatarios;idioma_diferente_usuario;lenguaje_imperativo;uso_acortadores;clase
2;0;6;0;outlook.com;company.com;3;0;0;0;9;1;0;0;1
1;1;1;0;clickme.biz;outlook.com;3;0;0;0;9;1;0;0;0
3;2;4;0;winfree.cn;outlook.com;1;0;0;0;3;1;0;0;1
4;1;4;0;company.com;winfree.cn;4;0;0;0;2;1;1;0;1
2;2;1;0;gmail.com;cheapoffers.ru;2;0;0;0;7;1;1;0;1
1;0;1;1;outlook.com;outlook.com;3;0;1;0;9;1;0;0;1
1;0;9;0;gmail.com;outlook.com;3;1;1;0;9;1;0;0;1
0;3;4;0;scammail.xyz;yahoo.com;1;0;0;0;2;1;0;0;0
1;2;1;0;company.com;gmail.com;2;1;0;0;3;0;0;0;0
1;0;5;1;gmail.com;cheapoffers.ru;2;0;0;0;9;1;0;0;1
3;2;1;0;gmail.com;gmail.com;3;0;0;0;9;1;0;0;0
1;1;2;0;gmail.com;scammail.xyz;1;0;0;0;2;1;1;0;0
1;1;4;0;gmail.com;cheapoffers.ru;3;0;0;0;6;1;0;0;0
0;0;4;0;scammail.xyz;gmail.com;2;0;1;0;8;1;1;0;1
1;0;5;0;gmail.com;yahoo.com;4;0;0;0;8;0;0;0;0
2;1;1;0;gmail.com;yahoo.com;4;0;0;0;5;1;0;0;0
1;0;2;0;outlook.com;outlook.com;1;0;0;0;9;1;0;0;0
2;1;5;0;scammail.xyz;scammail.xyz;1;0;0;0;5;1;0;0;1
3;0;2;0;cheapoffers.ru;company.com;2;0;1;0;6;1;0;0;1
1;1;3;0;scammail.xyz;yahoo.com;3;0;0;0;5;0;0;0;0
2;1;3;1;outlook.com;gmail.com;1;0;0;0;8;1;0;0;1
0;1;4;0;clickme.biz;outlook.com;2;0;1;1;3;0;0;0;1
3;0;4;0;gmail.com;winfree.cn;4;0;0;0;8;1;0;0;1
3;0;4;0;cheapoffers.ru;gmail.com;3;0;0;1;4;1;0;0;1
3;2;4;0;company.com;clickme.biz;3;0;0;0;7;1;0;0;1
2;3;3;0;gmail.com;winfree.cn;2;0;0;1;4;0;1;0;1
2;0;3;0;company.com;outlook.com;1;0;0;0;7;1;0;1;1
4;0;8;0;company.com;outlook.com;4;0;0;0;7;1;0;0;1
0;2;3;0;winfree.cn;outlook.com;4;0;0;0;8;1;0;1;1
3;2;0;0;clickme.biz;gmail.com;1;0;0;0;8;0;0;0;0
1;1;2;0;yahoo.com;gmail.com;3;0;0;0;8;0;0;0;0
1;1;1;0;scammail.xyz;outlook.com;1;0;0;0;4;0;1;0;0
2;0;1;0;gmail.com;clickme.biz;3;0;0;0;3;1;0;0;0
3;1;2;0;scammail.xyz;cheapoffers.ru;3;0;0;0;5;1;0;0;0
2;1;4;0;outlook.com;company.com;4;0;0;0;5;1;1;0;1
4;0;2;0;clickme.biz;yahoo.com;1;0;0;0;7;1;0;0;1
4;1;4;0;yahoo.com;company.com;2;0;0;0;1;1;0;0;1
1;2;1;0;yahoo.com;gmail.com;4;0;0;0;3;1;0;1;0
2;3;4;0;yahoo.com;gmail.com;1;0;0;1;9;1;1;0;1
3;0;3;1;yahoo.com;yahoo.com;2;0;0;0;1;1;0;0;1
0;1;4;0;company.com;clickme.biz;4;0;0;0;7;0;0;0;0
3;2;3;0;scammail.xyz;winfree.cn;4;0;0;0;2;1;1;0;1
2;1;3;0;yahoo.com;yahoo.com;3;0;0;0;7;0;1;0;1
5;0;2;0;scammail.xyz;gmail.com;4;0;0;0;5;1;0;0;1
1;0;7;0;winfree.cn;scammail.xyz;1;0;0;0;3;1;0;0;1
1;0;4;1;winfree.cn;scammail.xyz;2;0;0;0;5;0;1;0;1
0;1;3;0;yahoo.com;winfree.cn;2;0;0;0;3;1;1;0;0
3;2;2;0;yahoo.com;outlook.com;1;0;0;0;4;1;0;0;0
1;1;2;0;gmail.com;yahoo.com;1;0;0;0;5;1;0;0;0
2;0;7;0;outlook.com;outlook.com;2;0;0;0;8;1;0;0;1
1;1;2;1;yahoo.com;cheapoffers.ru;2;0;0;0;3;1;0;0;1
0;1;2;0;outlook.com;cheapoffers.ru;4;0;0;0;1;1;0;0;0
1;3;3;0;scammail.xyz;yahoo.com;3;0;0;0;2;1;1;0;1
2;1;3;0;company.com;scammail.xyz;3;0;0;0;4;1;1;0;1
3;0;1;0;yahoo.com;yahoo.com;4;0;0;0;7;1;0;0;0
3;1;2;0;company.com;cheapoffers.ru;2;0;0;1;7;1;0;0;1
3;2;0;0;outlook.com;yahoo.com;4;0;0;0;3;1;0;0;0
2;0;3;0;company.com;scammail.xyz;2;0;0;0;9;1;0;0;1
1;1;5;0;gmail.com;gmail.com;3;0;0;0;6;1;0;0;1
2;3;2;0;outlook.com;company.com;3;0;0;0;5;1;1;0;1
2;2;3;0;outlook.com;outlook.com;2;0;0;0;7;0;1;0;1
2;1;5;0;yahoo.com;company.com;3;0;0;0;5;0;0;0;0
1;0;2;0;cheapoffers.ru;outlook.com;2;0;0;0;9;0;0;0;0
1;0;1;0;outlook.com;gmail.com;2;0;0;0;7;1;1;0;0
4;1;2;0;yahoo.com;gmail.com;1;0;0;0;7;1;1;0;1
2;0;1;0;yahoo.com;winfree.cn;4;1;0;1;3;0;0;0;1
2;0;2;0;outlook.com;outlook.com;1;0;0;0;9;0;0;0;0
1;0;1;0;company.com;winfree.cn;2;0;0;0;3;1;0;0;0
1;1;5;0;company.com;company.com;1;0;0;0;9;0;0;0;1
3;1;3;0;clickme.biz;scammail.xyz;1;0;0;0;7;0;0;0;0
3;0;2;0;company.com;yahoo.com;3;0;0;0;2;1;0;0;0
1;0;1;0;outlook.com;winfree.cn;1;0;1;0;4;1;1;1;1
0;0;3;0;company.com;outlook.com;4;0;0;0;2;1;0;0;0
2;2;3;0;gmail.com;scammail.xyz;4;0;0;1;4;1;0;0;1
5;0;3;0;gmail.com;company.com;4;1;0;0;9;0;0;0;1
3;0;1;0;yahoo.com;cheapoffers.ru;2;0;0;0;2;1;0;0;0
3;1;2;0;outlook.com;company.com;4;0;0;0;7;1;0;0;0
0;3;2;0;yahoo.com;clickme.biz;3;0;0;0;5;1;0;0;0
0;1;5;0;company.com;outlook.com;3;0;0;0;4;1;0;0;0
4;0;5;0;yahoo.com;company.com;4;0;0;0;2;1;0;0;1
1;0;4;0;scammail.xyz;gmail.com;4;0;0;0;3;0;0;0;0
2;0;2;0;gmail.com;cheapoffers.ru;3;0;0;0;7;1;0;0;0
3;0;3;0;gmail.com;gmail.com;4;0;0;0;7;1;0;0;1
3;2;3;0;scammail.xyz;cheapoffers.ru;3;0;0;0;6;1;0;1;1
1;0;1;1;company.com;scammail.xyz;3;0;0;0;1;0;0;0;0
0;1;4;0;outlook.com;cheapoffers.ru;2;0;0;1;8;1;0;0;1
0;0;4;0;company.com;yahoo.com;2;0;0;0;2;1;1;0;1
3;1;2;0;gmail.com;clickme.biz;2;0;0;0;9;1;1;0;1
2;1;1;0;outlook.com;gmail.com;2;0;0;0;5;1;0;0;0
4;2;2;0;yahoo.com;winfree.cn;4;0;0;0;8;1;0;0;1
1;1;3;0;gmail.com;yahoo.com;4;0;0;0;3;0;0;0;0
5;2;5;0;gmail.com;gmail.com;1;0;0;0;4;1;0;0;1
3;0;5;0;clickme.biz;outlook.com;4;0;1;0;9;1;1;0;1
1;1;3;0;scammail.xyz;gmail.com;1;0;0;0;9;1;0;0;0
0;2;6;0;yahoo.com;company.com;4;0;0;0;7;1;1;0;1
0;0;1;0;scammail.xyz;clickme.biz;1;0;0;0;4;1;1;0;0
4;0;5;0;company.com;winfree.cn;2;0;1;0;9;1;0;0;1
4;1;3;0;outlook.com;outlook.com;3;1;0;0;9;1;1;0;1
2;1;2;0;outlook.com;yahoo.com;2;1;0;0;9;0;0;0;1
2;0;1;0;company.com;outlook.com;4;0;0;0;8;1;0;0;0
2;1;2;1;winfree.cn;yahoo.com;1;0;0;0;3;0;0;0;1
3;1;2;0;outlook.com;scammail.xyz;3;0;0;0;7;1;0;0;0
1;0;4;0;winfree.cn;outlook.com;4;0;0;0;7;1;0;0;1
1;1;3;0;gmail.com;yahoo.com;1;0;0;0;1;1;0;0;0
2;1;1;0;company.com;company.com;3;0;0;0;3;0;1;0;0
0;3;3;0;clickme.biz;scammail.xyz;1;0;0;0;4;1;0;0;0
2;0;2;0;clickme.biz;yahoo.com;1;0;0;0;2;1;0;0;0
1;1;3;0;outlook.com;outlook.com;2;0;0;0;1;0;1;0;0
0;3;1;0;yahoo.com;scammail.xyz;4;0;0;0;9;1;0;0;0
0;1;3;0;yahoo.com;outlook.com;1;0;0;0;7;1;0;1;1
5;3;4;0;company.com;yahoo.com;4;0;0;0;8;1;1;0;1
4;2;5;0;cheapoffers.ru;gmail.com;2;0;1;0;3;1;0;0;1
0;0;5;0;cheapoffers.ru;company.com;1;0;1;0;1;1;0;0;1
3;3;1;0;yahoo.com;winfree.cn;2;0;0;0;6;1;0;0;0
3;0;0;0;gmail.com;cheapoffers.ru;2;0;0;0;3;1;0;1;0
3;0;7;0;company.com;cheapoffers.ru;1;0;0;0;3;1;1;0;1
3;0;4;0;gmail.com;winfree.cn;2;0;0;1;3;0;1;0;1
0;2;4;0;scammail.xyz;clickme.biz;3;0;0;0;5;1;0;0;0
2;2;3;1;cheapoffers.ru;outlook.com;4;0;0;0;7;1;0;0;1
2;1;3;1;cheapoffers.ru;outlook.com;1;0;0;0;5;1;0;0;1
1;0;3;1;company.com;gmail.com;3;0;0;0;6;1;1;0;1
2;1;4;0;gmail.com;company.com;3;0;0;0;3;0;0;0;0
1;0;2;0;gmail.com;gmail.com;2;0;0;1;5;1;1;0;1
3;1;2;0;yahoo.com;gmail.com;3;0;0;0;4;1;0;0;0
2;0;3;0;cheapoffers.ru;gmail.com;3;0;0;0;2;1;0;0;0
1;2;2;0;company.com;gmail.com;2;0;0;0;9;1;0;0;0
3;1;4;1;scammail.xyz;outlook.com;1;0;0;0;1;0;1;0;1
2;1;1;0;yahoo.com;yahoo.com;1;0;0;0;5;1;0;0;0
7;1;4;0;company.com;outlook.com;1;1;0;1;1;1;0;0;1
2;1;2;0;company.com;outlook.com;2;0;0;0;4;1;0;0;0
3;0;3;0;cheapoffers.ru;company.com;1;0;0;0;9;1;0;0;1
2;1;2;0;company.com;gmail.com;1;0;0;0;6;0;1;0;0
0;0;2;0;winfree.cn;yahoo.com;2;0;0;0;8;1;1;0;1
1;1;1;0;cheapoffers.ru;company.com;3;0;0;0;4;1;0;0;0
1;0;2;0;gmail.com;scammail.xyz;2;0;0;0;6;0;0;0;0
2;0;1;0;company.com;outlook.com;1;0;0;0;9;0;0;0;0
0;1;5;0;company.com;yahoo.com;1;0;1;0;4;1;0;0;1
0;0;4;0;company.com;yahoo.com;1;0;0;0;6;1;0;0;0
3;1;4;0;company.com;outlook.com;3;0;0;0;9;0;1;0;1
2;1;4;0;company.com;outlook.com;2;0;0;0;3;1;0;0;0
1;2;3;0;gmail.com;company.com;1;0;0;0;1;0;0;0;0
3;0;3;0;company.com;gmail.com;4;1;0;0;1;1;0;0;1
1;0;4;0;clickme.biz;outlook.com;3;1;0;0;7;1;0;0;1
1;2;3;0;winfree.cn;yahoo.com;1;0;0;1;8;1;0;0;1
4;2;0;0;clickme.biz;winfree.cn;3;0;0;1;3;1;0;0;1
3;4;4;0;clickme.biz;company.com;3;0;0;0;9;0;0;0;1
5;2;2;0;gmail.com;yahoo.com;1;0;0;1;1;0;0;0;1
2;2;2;1;gmail.com;gmail.com;3;0;0;0;9;1;0;0;1
0;2;2;0;yahoo.com;company.com;1;0;0;1;2;1;0;1;1
0;2;4;0;yahoo.com;gmail.com;4;0;0;0;2;0;0;1;0
6;2;2;0;clickme.biz;outlook.com;4;0;0;1;3;1;0;0;1
6;0;5;1;cheapoffers.ru;outlook.com;2;0;0;0;6;1;0;0;1
0;0;0;0;outlook.com;outlook.com;1;0;0;1;9;1;0;0;0
0;2;1;0;yahoo.com;outlook.com;2;0;0;0;1;1;0;0;0
3;2;2;0;clickme.biz;cheapoffers.ru;1;0;0;0;8;1;1;0;1
1;1;2;0;yahoo.com;gmail.com;3;0;0;0;5;1;0;0;0
4;3;2;0;scammail.xyz;gmail.com;4;0;0;0;5;1;0;0;0
2;1;2;0;company.com;yahoo.com;1;0;1;0;3;1;1;0;1
1;0;5;1;company.com;company.com;4;0;0;0;4;1;0;0;1
4;2;3;0;winfree.cn;cheapoffers.ru;1;0;0;0;3;1;0;0;0
4;0;3;0;scammail.xyz;outlook.com;2;0;1;0;4;1;0;0;1
5;3;6;0;gmail.com;company.com;3;0;0;0;9;1;0;0;1
1;0;1;0;yahoo.com;winfree.cn;2;0;0;1;9;1;1;0;1
1;1;4;0;winfree.cn;yahoo.com;1;0;1;0;7;1;0;0;1
4;0;3;0;outlook.com;yahoo.com;1;0;0;0;3;1;0;0;0
3;1;3;0;yahoo.com;company.com;2;0;0;1;9;1;0;0;1
3;1;2;0;gmail.com;outlook.com;2;0;0;0;3;1;0;0;0
2;0;6;0;scammail.xyz;company.com;2;0;0;1;6;0;0;0;1
3;0;0;0;yahoo.com;yahoo.com;3;0;0;0;3;0;0;0;0
2;1;5;1;outlook.com;clickme.biz;4;1;0;0;1;1;0;0;1
1;2;6;0;company.com;winfree.cn;1;0;0;0;2;1;0;0;1
3;2;3;0;yahoo.com;company.com;2;0;0;0;3;1;0;0;0
3;2;2;0;winfree.cn;outlook.com;2;0;0;1;6;0;1;0;1
1;0;3;0;company.com;clickme.biz;2;0;0;0;5;0;0;0;0
2;1;2;0;outlook.com;company.com;3;0;0;0;8;1;1;0;1
0;0;5;1;yahoo.com;gmail.com;2;0;0;0;1;1;1;0;1
1;3;3;0;yahoo.com;winfree.cn;2;0;0;0;1;1;1;0;0
2;1;2;0;company.com;outlook.com;1;0;0;0;3;1;1;0;1
2;1;1;0;clickme.biz;yahoo.com;2;0;0;1;4;1;1;0;1
1;1;1;0;outlook.com;company.com;2;0;0;0;1;1;1;0;0
2;2;2;0;outlook.com;cheapoffers.ru;3;0;0;0;4;1;0;0;0
2;0;4;0;gmail.com;cheapoffers.ru;4;0;0;0;3;1;0;0;0
2;2;6;0;cheapoffers.ru;outlook.com;2;0;0;0;9;1;0;0;1
0;0;3;0;cheapoffers.ru;yahoo.com;2;0;0;0;5;1;0;0;0
1;2;2;0;yahoo.com;gmail.com;1;0;0;1;4;1;0;1;1
4;4;2;0;gmail.com;company.com;2;0;0;1;6;1;1;0;1
2;2;3;0;clickme.biz;outlook.com;2;0;0;0;1;1;1;0;1
1;1;5;0;company.com;gmail.com;1;0;0;0;8;1;0;0;1
0;2;0;0;company.com;company.com;1;0;0;0;6;1;0;0;0
3;1;5;0;outlook.com;clickme.biz;3;0;0;0;1;1;0;1;1
5;2;5;0;scammail.xyz;outlook.com;1;0;0;0;1;1;1;0;1
3;4;1;0;gmail.com;company.com;1;0;0;1;5;0;1;0;1
1;2;3;0;outlook.com;gmail.com;1;0;0;1;3;0;0;0;0
2;0;0;0;gmail.com;scammail.xyz;2;0;0;0;1;1;1;0;0
3;1;1;1;cheapoffers.ru;yahoo.com;2;0;1;0;9;1;0;0;1
2;1;4;0;company.com;gmail.com;3;0;0;0;9;1;1;0;1
2;2;2;0;clickme.biz;gmail.com;2;0;0;0;6;1;0;0;0
1;4;3;0;outlook.com;gmail.com;3;0;1;1;5;0;1;0;1
0;1;3;1;company.com;outlook.com;3;0;0;1;3;1;0;0;1
1;0;3;0;clickme.biz;company.com;4;0;0;0;3;1;0;0;0
2;2;5;0;clickme.biz;outlook.com;2;1;0;0;2;1;1;0;1
2;0;2;0;gmail.com;gmail.com;4;0;1;0;4;1;0;0;1
1;4;2;0;outlook.com;gmail.com;4;0;0;0;6;0;0;0;0
2;2;1;0;company.com;clickme.biz;1;0;0;0;3;1;0;0;0
0;2;2;0;clickme.biz;yahoo.com;1;0;0;0;9;1;1;1;1
1;1;1;0;gmail.com;outlook.com;4;1;0;1;2;1;1;0;1
3;1;5;0;winfree.cn;company.com;3;0;0;1;9;1;1;0;1
0;2;3;0;outlook.com;company.com;3;0;0;0;4;1;0;0;0
2;2;4;0;scammail.xyz;winfree.cn;3;0;0;1;9;0;0;0;1
0;2;3;0;outlook.com;cheapoffers.ru;4;0;0;1;9;0;0;0;1
3;1;2;0;outlook.com;gmail.com;1;0;1;0;5;1;1;0;1
1;1;1;0;winfree.cn;gmail.com;2;0;0;0;2;0;1;0;0
3;0;2;0;outlook.com;yahoo.com;3;0;0;0;3;1;0;0;0
3;0;2;0;gmail.com;gmail.com;2;0;0;0;5;1;0;0;0
3;1;5;0;outlook.com;gmail.com;1;0;0;0;5;1;1;0;1
3;3;2;0;gmail.com;outlook.com;3;0;0;0;7;1;0;0;0
3;1;2;0;outlook.com;company.com;1;0;0;0;5;0;0;0;0
2;0;3;0;scammail.xyz;winfree.cn;4;0;0;0;6;1;0;0;0
3;2;1;0;outlook.com;yahoo.com;3;0;0;1;9;1;1;1;1
1;2;1;0;outlook.com;yahoo.com;4;0;0;1;5;1;0;0;0
1;2;4;0;gmail.com;clickme.biz;4;0;1;0;2;1;0;0;1
0;1;4;0;yahoo.com;company.com;2;0;0;0;1;0;1;0;0
1;1;1;0;scammail.xyz;clickme.biz;2;0;0;0;4;1;0;0;0
3;5;3;0;gmail.com;clickme.biz;2;0;1;0;7;1;1;0;1
0;1;4;1;gmail.com;winfree.cn;4;0;0;0;1;1;1;0;1
0;0;1;1;outlook.com;company.com;2;0;0;0;2;1;0;0;0
3;0;3;0;gmail.com;gmail.com;4;0;0;0;7;1;1;0;1
2;1;3;0;outlook.com;yahoo.com;1;0;0;0;6;0;0;0;0
2;1;2;1;gmail.com;winfree.cn;2;0;0;0;3;1;1;1;1
0;0;3;0;yahoo.com;scammail.xyz;4;1;0;0;8;1;0;0;1
1;0;1;0;yahoo.com;company.com;2;0;0;0;1;0;0;0;0
1;0;3;0;winfree.cn;outlook.com;2;0;0;1;9;1;0;0;1
2;1;1;0;outlook.com;cheapoffers.ru;1;0;0;0;8;1;0;0;0
1;0;1;1;outlook.com;yahoo.com;1;0;1;0;7;1;0;0;1
3;0;2;0;outlook.com;outlook.com;3;0;0;0;2;1;0;0;0
1;1;3;0;outlook.com;yahoo.com;3;0;0;0;3;1;0;0;0
1;0;5;0;cheapoffers.ru;clickme.biz;4;0;0;0;8;1;1;0;1
3;1;2;0;gmail.com;company.com;4;0;0;1;7;0;0;0;1
0;1;3;0;winfree.cn;outlook.com;3;0;1;1;7;1;0;1;1
2;1;1;0;yahoo.com;yahoo.com;4;0;0;0;7;1;0;0;0
2;2;6;0;company.com;cheapoffers.ru;3;0;0;0;3;1;1;0;1
3;1;3;0;yahoo.com;clickme.biz;1;1;0;0;3;1;1;0;1
2;1;5;0;yahoo.com;winfree.cn;4;0;0;0;7;1;0;0;1
1;1;0;0;company.com;company.com;1;0;0;0;5;0;1;0;0
3;1;5;0;outlook.com;company.com;1;0;0;0;5;0;1;0;1
1;1;5;1;yahoo.com;clickme.biz;2;0;0;0;5;1;1;0;1
2;1;5;1;outlook.com;winfree.cn;3;0;0;1;4;1;0;0;1
1;1;4;0;winfree.cn;company.com;1;0;0;1;8;1;1;0;1
5;1;6;0;outlook.com;gmail.com;3;0;0;0;3;0;0;0;1
3;2;2;0;clickme.biz;outlook.com;1;0;0;1;7;0;0;0;1
3;2;4;0;company.com;company.com;3;0;0;0;8;1;0;0;1
0;1;3;0;gmail.com;clickme.biz;3;0;0;1;7;0;0;0;1
2;1;2;0;gmail.com;winfree.cn;2;0;0;0;3;0;0;1;0
3;3;1;0;scammail.xyz;yahoo.com;2;0;1;0;3;1;0;0;1
2;0;4;0;yahoo.com;scammail.xyz;1;0;0;0;1;1;0;0;0
1;1;3;0;gmail.com;company.com;2;0;0;0;4;1;0;0;0
2;0;4;0;winfree.cn;yahoo.com;2;1;0;1;6;1;0;0;1
0;1;0;0;gmail.com;cheapoffers.ru;2;0;0;0;2;1;0;0;0
2;1;1;0;outlook.com;gmail.com;4;0;0;0;6;1;0;0;0
2;0;3;0;outlook.com;company.com;1;0;0;0;3;0;1;0;0
2;1;5;0;yahoo.com;outlook.com;3;0;0;0;5;0;1;0;1
2;0;2;0;gmail.com;yahoo.com;2;0;1;0;7;0;0;0;1
2;1;3;0;gmail.com;company.com;4;0;0;0;2;1;0;0;0
1;1;6;0;yahoo.com;yahoo.com;2;0;0;1;6;1;1;1;1
1;0;1;1;scammail.xyz;winfree.cn;2;0;0;0;9;1;0;0;1
2;0;4;0;gmail.com;yahoo.com;4;0;0;0;7;1;0;0;1
1;0;3;1;company.com;gmail.com;2;0;0;0;9;1;0;0;1
2;1;5;0;company.com;clickme.biz;3;0;0;0;5;1;0;0;1
2;0;2;0;company.com;company.com;3;0;0;0;5;1;0;0;0
2;0;3;0;winfree.cn;winfree.cn;3;0;0;1;7;0;0;0;1
1;1;4;0;gmail.com;company.com;3;0;0;0;9;1;0;0;1
1;2;3;0;yahoo.com;outlook.com;4;0;0;1;6;1;0;0;1
0;0;1;0;yahoo.com;outlook.com;2;0;0;0;9;0;0;0;0
2;1;2;0;scammail.xyz;cheapoffers.ru;4;0;0;0;5;1;1;0;1
1;1;3;0;winfree.cn;winfree.cn;4;0;0;0;9;1;1;0;1
2;1;3;1;company.com;yahoo.com;2;0;0;0;5;1;0;0;1
3;1;4;0;winfree.cn;scammail.xyz;2;0;0;1;2;1;0;0;1
2;0;0;0;clickme.biz;company.com;3;0;1;0;3;1;1;0;1
1;1;2;0;scammail.xyz;winfree.cn;3;0;0;0;6;0;0;0;0
1;2;2;0;company.com;cheapoffers.ru;1;0;1;0;2;1;0;0;1
1;0;3;0;company.com;cheapoffers.ru;3;0;0;0;4;1;0;0;0
2;1;2;0;gmail.com;outlook.com;1;0;0;0;7;0;1;0;0
4;2;3;0;gmail.com;scammail.xyz;2;0;0;1;5;1;0;0;1
2;1;5;0;gmail.com;gmail.com;1;0;1;0;3;1;0;0;1
2;0;2;0;gmail.com;outlook.com;1;0;0;1;5;1;1;0;1
4;1;4;0;gmail.com;company.com;2;0;0;0;1;1;0;0;1
2;1;1;0;cheapoffers.ru;company.com;3;0;0;0;1;0;0;0;0
3;1;2;0;yahoo.com;winfree.cn;3;0;0;0;5;0;1;0;0
3;0;3;0;yahoo.com;clickme.biz;3;0;0;0;1;1;0;1;1
2;1;6;0;cheapoffers.ru;company.com;2;0;1;0;3;0;0;0;1
1;0;3;0;clickme.biz;scammail.xyz;1;0;1;0;1;0;0;0;1
3;0;3;0;gmail.com;company.com;2;0;0;0;4;1;0;0;0
5;1;1;0;outlook.com;scammail.xyz;2;0;0;0;3;0;0;0;0
1;2;3;0;outlook.com;gmail.com;4;0;0;0;6;1;0;0;0
2;1;4;0;company.com;yahoo.com;2;0;0;0;8;1;0;0;1
6;1;3;0;gmail.com;yahoo.com;1;0;0;1;8;0;1;0;1
1;0;2;0;scammail.xyz;outlook.com;1;0;0;0;8;1;0;0;0
2;3;4;1;yahoo.com;company.com;3;0;0;1;5;1;0;0;1
0;0;5;0;outlook.com;outlook.com;2;1;1;0;6;1;1;0;1
1;1;5;0;company.com;scammail.xyz;3;0;0;1;6;1;0;0;1
1;1;2;0;company.com;scammail.xyz;4;0;0;0;8;1;0;0;0
2;2;1;0;scammail.xyz;cheapoffers.ru;1;0;0;0;9;0;0;0;0
3;1;3;0;outlook.com;yahoo.com;1;0;0;0;2;1;0;1;1
1;3;3;0;winfree.cn;scammail.xyz;2;0;0;0;7;1;0;0;0
1;0;1;0;scammail.xyz;company.com;4;0;0;1;9;0;0;0;0
3;0;9;0;cheapoffers.ru;clickme.biz;2;0;1;0;3;1;0;0;1
2;0;1;0;yahoo.com;yahoo.com;4;0;1;0;5;1;0;0;1
0;0;0;0;company.com;outlook.com;1;0;0;1;2;1;0;0;0
1;1;4;0;outlook.com;scammail.xyz;4;0;0;0;2;1;0;0;0
1;1;2;0;clickme.biz;gmail.com;2;0;1;0;8;1;0;0;1
0;3;5;0;company.com;cheapoffers.ru;3;0;0;0;5;0;1;0;1
0;0;0;0;yahoo.com;clickme.biz;2;0;0;0;6;1;0;0;0
2;2;4;0;outlook.com;scammail.xyz;3;0;0;1;1;1;0;0;1
0;1;1;1;yahoo.com;cheapoffers.ru;4;0;0;0;2;1;0;0;0
